time,totalNewCases,totalNewTests,undergradCases,undergradTests,gradCases,gradTests,facStaffCases,facStaffTests
2020-08-17,26,8401,17,2883,3,1939,5,3412
2020-08-18,21,6135,18,2712,1,1240,2,2060
2020-08-19,30,6273,26,4023,2,1006,2,1159
2020-08-20,56,10709,50,5579,2,1809,2,3134
2020-08-21,57,10843,49,5936,4,2051,3,2683
2020-08-22,44,3303,44,2791,0,331,0,153
2020-08-23,53,4464,53,3870,0,425,0,145
2020-08-24,83,17592,76,6965,4,4802,3,5546
2020-08-25,89,14838,88,11605,1,1386,0,1688
2020-08-26,54,6345,52,4348,0,968,1,926
2020-08-27,47,14536,39,4893,3,4295,5,5112
2020-08-28,63,13227,61,10190,0,1283,2,1598
2020-08-29,49,2711,45,1905,2,419,0,340
2020-08-30,104,3465,101,2637,1,466,1,328
2020-08-31,231,17030,224,7187,2,4287,3,5293
2020-09-01,197,13951,193,10542,1,1396,1,1844
2020-09-02,120,6411,118,4415,2,942,0,950
2020-09-03,87,14245,79,5823,4,3677,2,4519
2020-09-04,102,13551,95,9600,1,1603,6,2168
2020-09-05,33,2409,30,1585,2,408,1,367
2020-09-06,34,2964,33,1711,1,578,0,629
2020-09-07,60,6233,56,3175,1,1482,3,1495
2020-09-08,76,10818,70,9544,1,496,3,653
2020-09-09,44,11950,40,5405,1,2455,3,3821
2020-09-10,34,6611,30,4267,1,941,2,1297
2020-09-11,35,11211,33,9088,1,847,1,1132
2020-09-12,9,4003,9,2096,0,825,0,999
2020-09-13,17,4710,13,2513,2,1162,1,952
2020-09-14,40,10171,32,6982,1,1489,5,1531
2020-09-15,47,11222,43,9008,1,892,1,1156
2020-09-16,23,9937,22,4418,0,1852,1,3485
2020-09-17,17,7786,16,5375,0,918,1,1342
2020-09-18,27,10354,23,8287,0,835,4,1099
2020-09-19,12,3784,9,2061,2,784,1,853
2020-09-20,11,4552,9,2515,0,1044,2,920
2020-09-21,42,10369,39,7059,1,1556,2,1607
2020-09-22,62,11095,57,8902,1,843,3,1184
2020-09-23,29,9648,25,4255,1,1779,3,3392
2020-09-24,27,9106,27,6283,0,1282,0,1397
2020-09-25,41,10870,40,8606,0,1060,1,1046
2020-09-26,17,3887,17,2141,0,775,0,899
2020-09-27,28,4588,26,2515,0,1106,2,890
2020-09-28,36,10723,35,7451,0,1534,0,1577
2020-09-29,37,10618,34,8443,1,885,1,1146
2020-09-30,32,10341,31,4925,0,1848,1,3371
2020-10-01,27,7587,26,5199,1,916,0,1336
2020-10-02,18,10741,16,8302,0,981,1,1297
2020-10-03,9,3848,6,2045,0,780,3,943
2020-10-04,7,4372,6,2275,1,1033,0,969
2020-10-05,48,11116,39,7765,4,1565,5,1613
2020-10-06,25,10314,21,7955,1,947,3,1258
2020-10-07,21,9753,14,4343,1,1821,6,3374
2020-10-08,14,7947,12,5426,0,983,2,1389
2020-10-09,10,9682,8,7325,0,925,1,1260
2020-10-10,11,3376,8,1791,1,689,2,817
2020-10-11,8,4539,4,2402,1,1069,2,981
2020-10-12,23,9572,19,6618,2,1307,2,1489
2020-10-13,14,10083,12,7809,1,956,1,1168
2020-10-14,11,9090,4,4038,1,1645,6,3219
2020-10-15,9,8000,5,5399,1,992,2,1457
